Model,VIN,Uph,Retail Date,MSRP,Wholesale date,Trade,Client order,Paints,Lot life,Defect
GLE43C4,4JGED6EB3KA149065,Black,7/31/2019,"72,595",7/30/2019,1,0,Black,1,0
GLE350W4,4JGFB4KB3LA076848,Beige,7/31/2019,"67,220",7/5/2019,0,0,Grey,26,0
GLE350W4,4JGFB4KB9LA080774,Black,7/31/2019,"68,000",7/17/2019,0,0,Silver,14,0
GLE350W4,4JGFB4KE0LA081077,Beige,7/31/2019,"77,005",7/17/2019,0,0,White,14,0
GLE350W4,4JGFB4KE4LA086623,Beige,7/31/2019,"74,730",7/26/2019,0,0,Blue,5,0
GLE450W4,4JGFB5KB7LA072100,Black,7/31/2019,"77,070",6/29/2019,0,0,Silver,32,0
C300W4,55SWF8EB3KU316898,Black,7/31/2019,"53,330",4/19/2019,0,0,White,103,1
GLC300W4,WDC0G4KB1KV177965,Black,7/31/2019,"52,375",7/29/2019,1,0,Red,2,0
GLC300W4,WDC0G4KB6KV194485,Black,7/31/2019,"58,690",7/25/2019,1,0,Black,6,0
GLC300W4,WDC0G4KB9KV191113,Beige,7/31/2019,"51,570",5/31/2019,0,0,Black,61,0
GLA250W4,WDCTG4GB4KJ618730,Black,7/31/2019,"40,995",7/23/2019,0,1,Red,8,0
E53C4,WDD1J6BB2KF091653,Brown,7/31/2019,"83,155",12/18/2018,0,0,Blue,225,1
S450V4,WDDUG6EB3KA485022,Black,7/31/2019,"95,245",7/15/2019,0,1,Black,16,0
S560V4,WDDUG8GBXKA417986,Beige,7/31/2019,"119,460",1/7/2019,0,0,White,205,1
C300W4,WDDWF8EB8KR513258,Beige,7/31/2019,"47,845",7/31/2019,1,0,Green,0,0
E300W4,WDDZF4KB4KA602219,Black,7/31/2019,"60,145",1/16/2019,0,0,Black,196,1
E53W4,WDDZF6BB1KA581616,Brown,7/31/2019,"85,645",7/27/2019,1,0,Grey,4,0
E450W4,WDDZF6JB9KA658234,Black,7/31/2019,"68,885",7/23/2019,1,0,White,8,0
E450S4,WDDZH6JB2KA615185,Brown,7/31/2019,"73,080",7/26/2019,1,0,Blue,5,0
GLA45W4,WDDTG5CB6JJ510406,Black,7/31/2019,61825,4/20/2018,0,0,Red,467,1
GLA250W4,WDCTG4GB7KU014104,Black,7/30/2019,"40,995",4/5/2019,0,0,Black,116,1
A220W4,WDD3G4FB0KW001034,Beige,7/30/2019,"42,525",5/21/2019,0,0,Silver,70,0
E450W4,WDDZF6JB9KA657262,Grey,7/30/2019,"80,650",6/6/2019,0,0,Silver,54,0
C300W4,55SWF8EB9KU319515,Beige,7/29/2019,"53,315",7/20/2019,1,0,Red,9,0
G63W4,WDCYC7HJ1KX328175,Red,7/29/2019,"174,395",7/29/2019,0,1,Black,0,0
A220W4,WDD3G4FB5KW021134,Black,7/29/2019,"42,815",7/23/2019,1,0,Blue,6,0
GLA250W4,WDCTG4GB5KU019883,Grey,7/27/2019,"41,945",6/12/2019,0,0,Black,45,0
G63W4,WDCYC7HJ1KX326345,Brown,7/26/2019,"163,445",7/18/2019,0,1,Grey,8,0
GLE350W4,4JGFB4KB9LA070665,Black,7/24/2019,"66,290",7/12/2019,1,0,Grey,12,0
GLE350W4,4JGFB4KB9LA078538,Beige,7/24/2019,"67,280",7/15/2019,0,1,White,9,0
G550W4,WDCYC6BJ7KX326014,Beige,7/23/2019,"137,395",7/11/2019,0,1,Red,12,0
E300W4,WDDZF4KBXKA647410,Black,7/23/2019,"67,735",7/3/2019,1,0,Black,20,0
GLC300W4,WDC0G4KB8KV188137,Beige,7/20/2019,"48,170",5/23/2019,0,0,White,58,0
GLC63C4,WDC0J8JB2KF484145,White,7/18/2019,"90,740",11/18/2018,0,0,White,242,1
A220W4,WDD3G4FB8KW021824,Grey,7/18/2019,"47,155",7/3/2019,0,0,White,15,0
GLE350W4,4JGFB4KB2LA053822,Black,7/16/2019,"62,055",7/9/2019,1,0,Black,7,0
GLE350W4,4JGFB4KB6LA069098,Beige,7/16/2019,"69,985",6/18/2019,0,0,White,28,0
GLC300C4,WDC0J4KB7KF571790,Black,7/16/2019,"61,115",12/19/2018,0,0,Silver,209,1
GLC300W4,WDC0G4KB9KF666544,Black,7/13/2019,"49,220",6/20/2019,0,0,Black,23,0
C43W4,55SWF6EB4KU287626,Brown,7/12/2019,"66,775",12/31/2018,0,0,Blue,193,1
GLC300W4,WDC0G4KB6KF660247,Black,7/12/2019,"49,185",5/31/2019,0,0,White,42,0
GT53C4,WDD7X6BB0KA007268,Red,7/12/2019,"120,830",5/31/2019,0,0,Grey,42,0
GT53C4,WDD7X6BB0KA008484,Black,7/10/2019,"119,555",6/30/2019,0,0,Red,10,0
C43A4,WDDWK6EB7KF794602,Brown,7/10/2019,"77,015",12/9/2018,0,0,Red,213,1
GTCA,WDDYK8AA3KA023911,Black,7/10/2019,"181,965",11/27/2018,0,0,Grey,225,1
SLC300R,WDDPK3JA2KF161117,Black,7/8/2019,"60,455",12/31/2018,0,0,White,189,1
GLE350W4,4JGFB4KE9LA067856,Beige,7/6/2019,"67,610",6/12/2019,0,0,Blue,24,0
GLC300C4,WDC0J4KB6KF669113,Black,7/6/2019,"57,965",6/12/2019,0,0,White,24,0
GLE350W4,4JGFB4KE6LA067880,Black,7/1/2019,"69,760",6/12/2019,0,0,White,19,0
GLE43C4,4JGED6EB3KA154153,Grey,7/1/2019,"80,845",5/24/2019,1,0,Grey,38,0
GT63C4,WDD7X8JBXKA005007,Grey,7/1/2019,"155,990",6/13/2019,0,0,Blue,18,0
GLE350W4,4JGFB4KE4LA049121,Beige,7/1/2019,"72,445",5/16/2019,0,0,Green,46,0
GLE350W4,4JGFB4KB1LA061314,Beige,7/1/2019,"77,900",7/1/2019,1,0,Blue,0,0
E450S4,WDDZH6JBXKA633238,Brown,7/1/2019,"75,430",3/25/2019,0,0,Blue,98,1
GLE450W4,4JGFB5KEXLA073977,Grey,7/1/2019,"80,675",6/25/2019,0,0,Silver,6,0
GLE350W4,4JGFB4KB4LA072498,Black,7/1/2019,"61,295",6/21/2019,0,0,Black,10,0
GLE350W4,4JGFB4KB2LA067851,Beige,7/1/2019,"64,490",6/12/2019,0,0,Black,19,0
GLE350W4,4JGFB4KE0LA048953,Beige,6/29/2019,"72,765",5/9/2019,0,0,Blue,51,0
GLC300W4,WDC0G4KB4KV194596,Beige,6/29/2019,"51,570",6/18/2019,0,0,White,11,0
GLE350W4,4JGFB4KB6LA074009,Beige,6/29/2019,"59,045",6/29/2019,0,0,Black,0,0
GLC300W4,WDC0G4KB2KV193916,Beige,6/29/2019,"52,940",6/19/2019,0,0,White,10,0
GLC300W4,WDC0G4KB4KV189690,Beige,6/29/2019,"57,200",6/10/2019,1,0,Black,19,0
CLA250C,WDDSJ4EB3KN774293,Black,6/29/2019,"39,095",6/28/2019,1,0,White,1,0
GLA45W4,WDDTG5CB0JJ435217,Black,6/29/2019,61800,9/25/2017,0,0,Black,642,1
CLS450C,WDD2J5JB0KA040228,Black,6/28/2019,"80,870",6/10/2019,1,0,Black,18,0
GLE350W4,4JGFB4KB8LA074237,Black,6/28/2019,"62,320",6/25/2019,0,0,Black,3,0
GLE43C4,4JGED6EBXKA141612,Grey,6/28/2019,"75,055",12/21/2018,0,0,Black,189,1
GLE450W4,4JGFB5KB3LA074958,Beige,6/28/2019,"83,665",6/25/2019,0,0,White,3,0
C63CS,WDDWJ8HB9KF904981,Red,6/28/2019,"90,905",6/20/2019,0,1,White,8,0
GLE350W4,4JGFB4KE4LA068400,Black,6/28/2019,"70,760",6/12/2019,0,0,Black,16,0
E300W4,WDDZF4KB7KA658543,Black,6/27/2019,"60,145",6/12/2019,0,0,Black,15,0
GLE350W4,4JGFB4KB0LA010502,Black,6/27/2019,"56,775",6/17/2019,1,0,White,10,0
GLC300W4,WDC0G4KB3KV182441,Beige,6/27/2019,"49,020",5/4/2019,0,0,Black,54,0
GLC300W4,WDC0G4KB0KV193218,White,6/27/2019,"57,020",6/8/2019,0,0,Black,19,0
GLC300W4,WDC0G4KB8KF641876,Black,6/27/2019,"48,170",5/10/2019,0,0,White,48,0
G63W4,WDCYC7HJ6KX325434,Black,6/27/2019,"166,445",6/25/2019,0,1,Black,2,0
E53A4,WDD1K6BB9KF092568,White,6/27/2019,"100,780",12/31/2018,0,0,White,178,1
GLA45W4,WDDTG5CB0JJ390392,Black,6/27/2019,60795,7/21/2017,0,0,Grey,706,1
GLE450W4,4JGFB5KB1LA066034,Brown,6/26/2019,"81,450",6/7/2019,0,0,Blue,19,0
E450A4,WDD1K6JBXKF115843,Black,6/26/2019,"79,895",6/14/2019,0,0,Black,12,0
GLC300C4,WDC0J4KBXKF641427,Red,6/25/2019,"58,520",5/6/2019,0,0,White,50,0
GLA250W4,WDCTG4GB8KJ619878,Black,6/25/2019,"41,945",4/4/2019,0,0,Black,82,0
GLE350W4,4JGFB4KB7LA036126,Black,6/24/2019,"64,930",5/29/2019,0,0,Black,26,0
E450W4,WDDZF6JB2KA625186,Black,6/24/2019,"65,785",3/8/2019,1,0,Black,108,1
GLC300C4,WDC0J4KB4KF663469,Black,6/24/2019,"58,740",6/14/2019,1,0,Black,10,0
GLS450W4,4JGDF6EE0KB223861,Beige,6/24/2019,"83,230",11/15/2018,0,0,Black,221,1
S560V4,WDDUG8GB7KA492905,Black,6/22/2019,"121,485",6/18/2019,0,1,Black,4,0
GLE350W4,4JGFB4KB7LA059244,Beige,6/22/2019,"64,085",5/24/2019,0,0,White,29,0
GT63C4,WDD7X8JB1KA004473,Grey,6/22/2019,"162,340",3/29/2019,0,0,Blue,85,0
GLC300W4,WDC0G4KB4KV186322,Black,6/19/2019,"48,310",6/14/2019,1,0,Grey,5,0
C300W4,55SWF8EB6KU319939,Beige,6/19/2019,"51,940",6/5/2019,0,0,Blue,14,0
GLS450W4,4JGDF6EE6KB241054,Brown,6/19/2019,"95,030",3/11/2019,0,0,Red,100,1
GLE350W4,4JGFB4KE7LA050456,Black,6/18/2019,"83,205",6/5/2019,0,0,White,13,0
